# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, -2.4238, -3.21555, -3.14008, -3.81303, -3.29538, -3.24631, -3.19753, -3.20231, -3.84863, -3.04224, -3.14406, -3.60009, -3.5015, -3.4443, -3.7932, -3.4383, -3.38322, -3.75349, -3.84732, -3.50956, -3.85414, -3.81288, -3.87985, -3.84835, -4.40894, -4.40929, -4.54225, -4.30751, -4.76957, -4.5871
0.34, 0.0319375, -3.10506, -2.95216, -3.74627, -3.36402, -2.5805, -2.41463, -2.9358, -2.96067, -3.56147, -3.08044, -3.57752, -2.87324, -3.25277, -3.18782, -3.52287, -3.85634, -3.5218, -3.33092, -3.19392, -3.43399, -3.80677, -3.53096, -3.76154, -4.03685, -4.53734, -5.17799, -5.02817, -4.82457, -4.70562, -4.43145
0.36, 0.0319375, -2.83512, -2.93216, -3.11397, -3.90138, -2.81332, -3.10753, -2.8161, -2.69938, -2.99994, -2.75782, -2.78505, -3.2696, -3.66307, -3.74029, -3.36667, -3.49991, -3.34627, -3.32582, -3.35191, -3.54288, -3.50275, -4.0948, -3.71601, -4.01981, -4.22805, -4.2404, -4.67388, -4.47375, -4.5864, -4.48261
0.38, 0.0319375, -2.55882, -2.52775, -3.42592, -3.42442, -3.13137, -3.54661, -3.12632, -3.34659, -3.12958, -2.54289, -2.75952, -3.67119, -3.65427, -3.28928, -3.45324, -3.49685, -3.50422, -3.22208, -2.96789, -3.11225, -3.59464, -3.51418, -3.72215, -3.63253, -3.96079, -4.4745, -4.45027, -4.47666, -4.43333, -4.39784
0.4, 0.0319375, -2.56465, -2.86261, -2.99289, -3.21649, -2.54617, -2.81169, -2.94019, -2.64195, -2.99202, -2.77387, -2.77905, -3.16053, -3.33878, -3.28429, -3.30017, -3.11193, -3.11996, -3.08137, -2.73806, -3.246, -3.76387, -3.47912, -3.64925, -3.67065, -3.87439, -4.76331, -4.36083, -4.24416, -4.26661, -4.46821
0.42, 0.0319375, -3.16599, -2.28879, -2.86097, -2.77162, -2.6266, -2.81009, -2.70459, -3.19916, -3.2376, -2.67032, -2.45493, -2.94781, -3.70859, -2.93526, -3.07459, -3.25868, -3.23838, -2.84886, -2.75978, -2.83975, -3.41983, -3.46622, -3.76032, -3.58631, -3.7539, -4.36635, -4.37439, -4.08713, -4.40813, -4.27775
0.44, 0.0319375, -2.33872, -2.33016, -3.19947, -3.29261, -2.37228, -2.61603, -2.92492, -2.31609, -2.98517, -2.55474, -2.68458, -2.79403, -3.2648, -2.97294, -2.94824, -3.04555, -2.7386, -2.42956, -3.12281, -3.13961, -3.44159, -3.28163, -3.27342, -3.57723, -3.81659, -3.98928, -4.15124, -4.06568, -4.35086, -4.35508
0.46, 0.0319375, -2.31448, -2.1155, -3.11167, -3.02004, -2.97309, -2.81835, -2.35465, -2.89917, -3.07452, -2.9984, -2.71363, -2.9484, -3.36078, -3.05594, -2.7119, -3.07737, -2.56281, -2.46476, -2.7068, -2.62014, -3.53935, -3.45596, -3.47524, -3.43366, -3.84917, -4.39363, -4.03875, -4.03083, -4.22623, -4.5023
0.48, 0.0319375, -2.29295, -2.36163, -2.87587, -2.70771, -2.04728, -2.85828, -3.29981, -2.75455, -2.68624, -2.61143, -3.15297, -2.96835, -2.61049, -3.22195, -2.89363, -3.23852, -2.52519, -2.62791, -2.95108, -2.80752, -3.25379, -3.51971, -3.59692, -3.50864, -3.60273, -4.21568, -4.33896, -4.05052, -4.42218, -4.20794
0.5, 0.0319375, -2.62839, -2.94288, -2.34438, -2.49229, -2.52188, -2.39642, -2.23294, -2.48023, -2.61205, -2.95518, -2.75741, -3.02616, -3.48434, -3.0484, -2.97484, -2.70841, -2.566, -2.56372, -2.60064, -2.9062, -2.86408, -3.20044, -3.09366, -3.51251, -4.04771, -4.31326, -4.17236, -4.29058, -4.09211, -4.11611
