# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, 0.469528, 0.151822, 0.761341, 0.315197, 0.0534021, 0.210986, 0.0401682, 0.253188, -0.633632, -0.628603, -0.655566, -0.377382, -0.795826, -1.03316, -1.48042, -0.79487, -1.33052, -1.60356, -1.15498, -1.15143, -1.48113, -1.65424, -1.30101, -1.48182, -1.85425, -1.94801, -2.09287, -2.0204, -2.1808, -2.19042
0.34, 0.0319375, -0.270423, -0.0928992, 0.578407, -0.595349, -0.902655, -0.252059, -0.954718, 0.0259525, -0.0286832, -0.461661, -0.633844, -1.06829, -0.869882, -0.948257, -1.44566, -1.07548, -1.48093, -1.53167, -1.13837, -1.55003, -1.31941, -1.5871, -1.73262, -2.08729, -1.93458, -2.02433, -1.76204, -2.03392, -2.12301, -2.17398
0.36, 0.0319375, -0.00548739, -0.277521, 0.608939, 0.220613, -0.641561, -0.345263, -0.430361, -0.185969, -0.515562, -0.14763, -0.740285, -0.39905, -0.978598, -1.21424, -1.02276, -1.20353, -1.32906, -1.27409, -1.39907, -1.07356, -1.08672, -1.65075, -1.73251, -1.9104, -1.83911, -2.23685, -1.94469, -2.05356, -2.11856, -2.09296
0.38, 0.0319375, 0.0241564, -0.145566, 0.487107, -0.15726, 0.109074, 0.466237, -0.408975, 0.141858, -0.412404, -0.305925, -0.986812, -0.888343, -0.90408, -0.824761, -1.50222, -1.08752, -1.2205, -1.36207, -1.34453, -1.67935, -1.69125, -1.59547, -1.63329, -1.56969, -1.57091, -1.77294, -1.85787, -1.96946, -2.27437, -1.92419
0.4, 0.0319375, 0.113065, 0.197926, 0.425063, 0.544401, 0.210936, 0.295172, -0.0532533, -0.676125, -0.53081, -0.427658, -0.378548, -0.404725, -0.819484, -0.647804, -1.58828, -1.03141, -1.07693, -1.24647, -1.30387, -1.15036, -1.25695, -1.44418, -1.46147, -1.84231, -1.69395, -2.12321, -2.20367, -2.10573, -2.03701, -1.97992
0.42, 0.0319375, 0.603947, 0.570824, 0.661505, -0.431354, -0.195518, 0.304897, -0.339429, 0.0433404, 0.0140126, 0.15334, -0.901093, -0.647067, -1.00977, -0.860588, -1.03234, -1.39268, -1.01566, -1.51787, -1.71336, -1.20425, -1.37358, -1.66841, -1.61113, -1.50467, -1.70626, -1.93288, -1.71725, -1.99729, -2.08902, -2.0264
0.44, 0.0319375, 0.931686, 0.0964324, 0.027846, -0.257523, 0.113547, -0.00810682, -0.414813, -7.40317e-05, -0.222363, -0.569174, -0.41261, -0.45342, -0.767772, -0.841139, -0.487824, -1.5282, -1.87319, -1.75792, -1.33403, -1.26256, -1.44485, -1.56086, -1.54944, -1.95347, -2.11536, -1.95093, -1.99384, -2.19357, -2.2777, -2.02989
0.46, 0.0319375, -0.00820729, 0.175988, -0.262134, -0.614446, 0.086304, 0.873316, 0.290854, -0.0113933, 0.00101479, -0.672617, -0.600353, -0.954989, -0.647016, -0.184908, -1.134, -1.12673, -1.06699, -1.4756, -0.976387, -1.49298, -1.76948, -1.19754, -1.47255, -1.57998, -1.55355, -1.51965, -1.31681, -1.32965, -1.91069, -2.00416
0.48, 0.0319375, 0.449706, 0.220071, 0.518882, -0.761698, -0.375188, -0.858004, -0.453405, -0.62486, -0.473022, -0.178722, -0.0370603, -0.161805, -0.42081, -0.64593, -0.974509, -0.962851, -0.858379, -1.2009, -0.922735, -1.0778, -1.2141, -1.20117, -1.08065, -1.77529, -1.92586, -1.70402, -1.96044, -1.69904, -2.14107, -1.83661
0.5, 0.0319375, -0.0344131, -0.155868, -0.205001, 0.138719, 0.424206, 0.365375, 0.114246, -0.345224, -0.495072, -0.433666, -1.07614, -0.669823, -1.32607, -1.06279, -1.31631, -1.33575, -1.43615, -1.44436, -1.26521, -1.0576, -1.42205, -1.27913, -1.36953, -1.47471, -1.76675, -1.90748, -1.84275, -1.67528, -1.48894, -1.5839
0.52, 0.0319375, 0.467643, 0.168473, -0.388115, 0.370627, 0.108197, -0.242068, -0.33507, -0.128096, 0.0712401, -0.393916, -0.978405, -0.592008, -1.11163, -1.33189, -1.70474, -0.853161, -1.20047, -1.44976, -1.21421, -1.14708, -1.4704, -1.92083, -1.57611, -1.65439, -2.03472, -1.76368, -1.81421, -2.02857, -1.95033, -2.12116
0.54, 0.0319375, -0.896824, -0.199296, -0.344428, 0.206046, -0.167422, 0.12271, -0.147487, -0.824997, -0.79235, -0.358229, -0.688181, -0.775097, -1.73407, -1.35089, -1.52521, -1.29429, -1.66686, -1.32993, -1.9299, -1.09647, -1.24242, -1.29789, -1.45715, -1.72597, -2.02054, -2.08916, -2.04357, -2.12443, -2.15609, -2.23644
0.56, 0.0319375, 0.0726812, -0.229023, 0.358161, -0.296956, -0.38753, -0.374592, -0.231396, -0.738571, -0.163973, -0.281003, -0.291494, -0.374478, -0.664018, -1.53896, -1.53314, -1.25299, -1.41672, -1.63141, -1.0878, -1.32394, -1.21609, -1.42472, -1.1346, -1.45975, -1.99848, -2.00429, -1.84845, -1.77654, -1.74895, -1.84979
0.58, 0.0319375, -0.0159705, -0.0296256, -0.134286, -0.512889, -0.207316, 0.126331, -0.65928, -0.991918, -0.300564, -0.288368, -0.757933, -0.6834, -0.960254, -0.81918, -1.14129, -0.968002, -1.2341, -1.2751, -1.6848, -1.60935, -1.36805, -1.04299, -1.34615, -1.82623, -1.57318, -1.881, -1.80635, -2.34599, -2.44385, -2.12292
0.6, 0.0319375, 0.139015, -0.00933749, -0.381379, -1.25059, -0.724804, -0.151863, -0.745446, 0.19016, 0.0142219, -0.447345, -0.796214, -0.938671, -0.899261, -0.874713, -0.760864, -1.10434, -1.52342, -1.68594, -1.53006, -1.22958, -1.52595, -1.54192, -1.39547, -1.58758, -1.72219, -1.90312, -2.23049, -1.54398, -1.96162, -2.17008
0.62, 0.0319375, 0.57015, 0.651991, 0.422161, -0.347044, -0.425315, -0.337478, -1.35355, -0.943267, -0.484677, -0.703457, -1.10255, -0.586595, -0.863451, -0.866192, -1.37743, -1.12603, -1.54424, -1.45597, -1.0397, -1.10824, -1.13901, -0.783027, -1.1087, -1.62434, -1.36538, -1.34351, -1.72367, -1.91403, -1.84128, -1.93819
0.64, 0.0319375, -0.327994, -0.209839, -1.18019, -0.434842, -0.383762, -0.280978, -0.327452, -0.346035, -0.313997, -0.436139, -0.764694, -0.478865, -0.545089, -0.990745, -1.25588, -0.589032, -1.20084, -1.45267, -1.24788, -1.10563, -1.1407, -1.21119, -1.41669, -1.74247, -1.90036, -1.96993, -2.03096, -2.16531, -1.91132, -1.92111
0.66, 0.0319375, 0.326894, 0.236799, -0.284016, -0.0242309, 0.136312, -0.191431, -0.158847, -0.0844336, -0.133713, -0.558651, -0.720934, -0.643946, -1.68528, -1.37981, -1.45897, -1.50604, -1.25081, -1.09441, -0.992713, -1.20122, -1.40461, -1.11378, -1.17614, -1.64687, -1.38768, -1.54488, -1.98245, -2.02705, -2.18765, -2.11284
0.68, 0.0319375, 0.690401, 0.290298, -0.941433, -0.403007, -0.490893, -0.273439, -1.57979, -0.21547, -0.207408, -0.655053, -0.346548, -0.302197, -0.802138, -0.802243, -1.69097, -1.52715, -1.17218, -1.87828, -1.13083, -1.28685, -1.40885, -1.53144, -1.44192, -1.59206, -1.6985, -1.67458, -1.70658, -1.77577, -1.96163, -2.00172
0.7, 0.0319375, 0.652731, -0.202202, 0.131902, -0.495583, -0.0103787, 0.0170764, -0.251627, -0.12421, -0.524321, -0.662369, -0.727275, -0.790486, -1.23931, -0.88208, -1.16751, -1.26645, -1.33321, -1.55151, -0.912534, -1.21399, -1.09341, -1.62256, -1.09944, -1.23686, -1.22402, -1.35776, -1.73144, -2.12905, -1.83548, -1.91004
0.72, 0.0319375, 0.0741961, 0.251879, 0.724781, -0.277216, -0.0605651, -0.0178979, -0.0465333, -0.0940894, -0.714667, -0.427093, -0.425037, -1.03984, -1.27532, -0.912663, -1.41815, -1.25845, -1.42865, -1.1726, -1.13554, -1.30724, -1.31025, -1.37097, -1.17087, -1.65177, -1.29446, -1.63364, -1.52338, -1.81875, -2.20651, -2.17264
0.74, 0.0319375, -0.592407, -0.280899, -0.153167, 0.41697, 0.00901604, -0.185096, -0.318424, -0.0248956, -0.395058, -0.70177, -0.69422, -0.353897, -0.389753, -1.09185, -1.235, -1.22407, -1.29771, -1.35145, -1.37137, -1.39157, -1.48066, -1.1679, -1.10467, -1.57242, -1.59927, -1.94244, -1.73182, -2.41502, -2.83084, -2.25151
0.76, 0.0319375, 0.377057, 0.598184, 0.253549, -0.288423, -0.387219, 0.151896, -0.410609, -0.432005, -0.272715, 0.0317636, -0.176366, -1.03935, -0.751591, -1.02413, -0.822362, -0.893736, -1.08456, -1.40388, -1.76736, -1.36268, -1.72279, -2.01542, -1.56703, -1.80886, -1.86665, -1.94853, -2.4752, -2.46826, -2.15894, -2.03378
0.78, 0.0319375, 0.549584, -0.28462, 0.339567, 0.120022, -0.136052, 0.0132249, -0.406242, -0.483822, -0.573283, 0.00162458, -0.761447, -0.755364, -0.789366, -0.987737, -1.2609, -1.41107, -1.89582, -1.36527, -1.67704, -1.34904, -1.638, -1.91818, -1.76954, -1.97022, -2.09142, -1.87956, -1.99546, -2.24588, -2.52009, -1.99768
