# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.3, 0.0319375, -0.0962669, -0.525609, -0.0840627, -0.882161, 0.430457, 0.0581542, 0.156237, 0.0396487, 0.236354, 0.0510193, -0.0916363, 0.187807, 0.687347, 0.806718, 0.0923224, 0.645758, 0.461407, -0.106382, -0.433956, -0.388246, -0.59533, -0.933237, -1.02214, -1.03177, -1.19763, -1.13084, -1.19219, -1.32115, -1.67701, -2.1272
0.32, 0.0319375, 0.41581, -0.301919, -0.843332, -0.124448, 0.18388, -0.0126901, -0.075881, 0.391358, 1.23939, 0.629825, -0.00685347, 0.100803, 0.0442791, 0.205106, 0.759438, -0.0934858, 0.0941103, -0.0953814, -0.591351, -0.373169, -0.518889, -0.747662, -0.82696, -1.04666, -1.23141, -0.989868, -1.27059, -1.3657, -1.55912, -2.03832
0.34, 0.0319375, -0.037958, 0.0308718, -0.105256, -0.109679, -0.204412, -0.756964, -1.12304, 0.53359, 0.887929, 0.16518, 0.518041, 0.495753, 0.185385, 0.44797, 0.320969, 0.554664, 0.282869, 0.151, 0.193029, -0.406623, -0.516716, -0.845162, -0.727794, -1.02619, -0.849413, -1.3012, -1.12663, -1.32004, -1.87046, -2.07519
0.36, 0.0319375, -0.943181, -0.117233, 0.005991, -0.211286, -0.492518, 0.153442, 0.145566, 0.447252, 0.701655, 0.378362, 0.615188, 0.212305, 0.341632, 0.116028, -0.200254, 0.406538, 0.362331, 0.281578, 0.319873, -0.50987, -0.355475, -0.842315, -0.941415, -0.894594, -0.944694, -1.28707, -1.27321, -1.41565, -1.54701, -1.91066
0.38, 0.0319375, 0.0624609, 0.413051, 0.152489, -0.231191, 0.20529, 0.496857, 0.332029, 0.836536, -0.0964837, 0.0200909, -0.933232, 0.368817, 0.443302, -0.279468, -0.069223, 0.271884, 0.0998835, -0.266206, 0.146425, -0.364986, -0.764298, -0.62123, -0.439785, -0.984008, -1.02018, -1.15855, -1.12899, -1.52507, -1.74339, -2.11627
0.4, 0.0319375, 0.895733, 0.392378, -0.194002, 0.0219023, -0.250514, -0.245722, -0.12956, 0.251755, 0.642849, 0.738346, 0.459649, 0.0478374, 0.272795, 0.319229, 0.115917, 0.258079, 0.138048, -0.0904517, -0.389798, -0.470049, -0.308618, -0.853141, -0.801377, -1.2577, -1.01155, -1.2131, -1.36818, -1.65995, -1.93382, -2.17259
0.42, 0.0319375, 0.665439, 0.276185, -0.398226, -0.0988356, -0.434794, -0.62636, -0.10596, 0.741463, 0.688509, 0.318419, 0.338446, 0.151548, 0.195044, 0.0677987, 0.256717, 0.41926, 0.205744, 0.261485, 0.0602756, 0.090322, -0.445174, -0.759334, -0.911219, -1.08237, -0.802378, -1.32195, -1.4836, -1.55079, -1.75066, -2.03094
0.44, 0.0319375, 0.490908, 0.412753, 0.253222, -0.0163614, -0.229035, 0.168759, 0.136819, 0.245526, 0.392087, 0.750953, 0.594365, 0.40946, 0.766771, -0.182186, 0.258247, 0.0593434, 0.629394, 0.0984471, -0.282984, -0.500386, -0.230148, -0.281675, -1.10557, -0.733525, -0.936928, -0.959533, -1.25313, -1.30954, -2.03096, -2.06735
0.46, 0.0319375, -0.476208, -0.196793, -0.921241, -0.707492, 0.0671545, 0.278951, 0.546483, 0.727107, 0.379556, 0.69894, 0.538328, 0.363526, 0.266726, 0.654121, 0.688423, 0.692005, 0.311652, -0.0201691, -0.0452961, -0.485728, -0.772463, -0.66034, -0.459234, -0.963202, -1.17771, -1.1438, -1.23796, -1.39288, -1.77767, -2.11436
0.48, 0.0319375, -0.230825, -0.190797, -1.05916, -0.0426762, 0.48212, 0.314135, 0.0530308, 0.223141, 0.826127, 0.918849, 0.34205, 0.537115, 0.416531, 0.434763, 0.541018, 0.313334, 0.406017, 0.250302, 0.209956, 0.00981328, -0.749269, -1.02938, -0.968789, -0.969499, -1.36466, -1.20536, -1.19172, -1.51094, -1.93836, -1.89615
0.5, 0.0319375, 0.853919, 0.243874, -0.2059, -0.802705, 0.0987351, -0.472135, -0.662255, -0.0248049, 1.04937, 1.35649, 0.860481, 0.474896, 0.391415, 0.573189, 0.208229, 0.457296, -0.189595, -0.063056, -0.214637, -0.211073, -0.576017, -0.385281, -0.668583, -0.905723, -0.670952, -0.868572, -1.18203, -1.30063, -2.05381, -2.19851
0.52, 0.0319375, 0.707585, 0.00810122, -0.240773, -0.253931, 0.17331, 0.195289, 0.479464, 0.367951, 0.359287, 0.123455, 0.486273, 0.225891, 0.245265, 0.221497, -0.20174, 0.134515, 0.139922, -0.487011, -0.329665, -0.225606, -0.424319, -0.540896, -0.615621, -1.16025, -0.984899, -0.863536, -1.10535, -1.4803, -1.9286, -2.35199
0.54, 0.0319375, 0.340841, -0.211708, -0.544957, -0.38282, 0.211018, -0.270356, -0.0996721, 0.316488, 0.60218, 0.979862, 0.805759, 0.176651, -0.268079, -0.0989706, 0.294278, 0.395711, 0.506426, -0.381553, -0.26432, -0.498947, -0.630642, -0.709106, -0.72027, -0.793672, -0.677077, -0.76038, -1.29623, -1.55516, -1.94368, -2.08621
0.56, 0.0319375, -0.15286, 0.396098, 0.180449, -0.980904, -0.719189, -0.48465, 0.207948, 0.254969, 0.973962, 0.664657, 0.114228, 0.193434, 0.316237, 0.947801, 0.647639, 0.533563, 0.46594, 0.044407, -0.640272, -0.00997068, -0.434023, -0.630559, -0.860971, -1.34529, -0.85608, -1.01642, -1.26696, -1.48298, -2.22759, -2.05114
0.58, 0.0319375, -0.473677, 0.47244, -0.25599, -0.193663, -0.10319, -0.381044, 0.0227863, 0.317221, 0.283519, 0.282553, 0.931589, 0.512693, 0.875646, 0.755104, 0.678514, 0.0712001, 0.00949734, -0.269484, 0.245402, 0.0796165, -0.341439, -0.548451, -0.580471, -0.990717, -0.995038, -0.979485, -0.868203, -1.50948, -1.99553, -1.9742
0.6, 0.0319375, 0.397495, -0.222966, -0.177501, -0.717841, 0.0244311, -0.529303, 0.338316, 0.129326, 0.707215, 0.80383, 0.624421, 0.232145, 0.866599, 0.241802, 0.586145, 0.508109, 0.331361, 0.339656, -0.0431992, -0.421457, -0.542306, -0.614264, -0.830849, -1.10794, -0.706075, -0.888448, -1.01197, -1.57499, -1.66844, -1.95149
0.62, 0.0319375, 0.258228, 0.673501, -0.653894, -0.518862, 0.129891, 0.214678, 0.332758, 0.540921, 0.789407, 1.13548, 0.777325, 0.615704, 0.889543, 0.776718, 0.437445, 0.293806, 0.728907, 0.32097, -0.462983, -0.0462454, -0.39416, -0.216639, -0.90896, -0.908491, -0.850577, -0.925979, -1.14375, -1.2355, -1.98042, -2.14168
0.64, 0.0319375, 0.687647, 0.269552, -0.280083, -0.111617, -0.146363, 0.409489, 0.468947, 0.275222, 1.09156, 0.469568, 0.886364, 0.256896, 0.282184, 0.451615, 0.332177, 0.500303, 0.478283, 0.379893, -0.00139047, -0.218086, -0.660345, -0.66654, -0.909487, -0.993894, -0.935273, -1.01125, -1.28036, -1.35682, -1.66712, -2.29857
