# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, -1.19339, -0.566236, -0.674745, -0.20516, 0.0383322, -0.211079, -0.478054, -0.158338, -0.342081, -1.245, -1.11336, -1.18945, -0.898506, -1.72171, -1.72863, -1.40123, -1.71008, -1.45908, -1.54167, -1.81193, -0.996399, -1.17307, -1.18121, -1.583, -1.11833, -1.32288, -1.29352, -1.21965, -1.75581, -1.69366
0.34, 0.0319375, -0.194, -0.261378, -0.930138, -0.0800306, -0.631009, -0.83437, -0.20053, 0.269957, -0.374434, -0.563296, -0.976076, -1.09269, -0.99059, -1.37461, -2.00308, -1.59953, -1.74872, -1.74373, -1.4202, -1.48844, -1.32645, -1.35069, -1.64818, -1.24939, -1.11989, -1.05288, -1.15308, -1.58088, -1.99824, -1.70317
0.36, 0.0319375, -0.331168, -0.523239, -0.174399, -0.354676, -0.294847, 0.0524477, -0.403103, -0.768205, -0.0853944, -0.763597, -0.977134, -1.08491, -1.08651, -1.31515, -1.50624, -2.12129, -2.03348, -2.03844, -1.84933, -1.23519, -1.39877, -1.71147, -1.71147, -1.45467, -1.11423, -1.35737, -1.52025, -1.884, -2.10955, -1.85123
0.38, 0.0319375, -0.376553, -0.414317, -0.746519, -0.770543, -0.427828, -0.49892, -0.644142, -0.805719, -0.665599, -1.05912, -0.996682, -0.25483, -0.409678, -0.6019, -0.635921, -1.0357, -1.96717, -1.56009, -0.811985, -0.100662, 0.0613562, -0.144683, -0.591955, -1.14315, -0.920952, -1.23894, -1.02492, -1.09737, -1.44878, -2.07964
0.4, 0.0319375, -0.432051, -0.918165, -1.29208, -0.856536, -0.249418, -0.248035, 0.00628507, -0.383527, -0.227054, -0.276133, -0.56372, -0.871776, -1.23665, -1.30527, -1.75227, -1.68071, -1.62743, -1.18255, -1.50189, -1.20283, -1.3385, -1.17012, -1.02257, -0.993226, -1.25752, -1.39284, -1.45306, -1.72767, -1.96725, -2.32257
0.42, 0.0319375, 0.105061, -0.661541, -0.834674, -0.434348, -0.643867, -1.15969, -0.869986, -0.47932, -0.369809, -1.08011, -0.776599, -0.675366, -1.20765, -1.64969, -1.73335, -1.774, -1.81695, -1.68696, -1.69299, -1.55535, -1.55397, -1.21687, -1.48809, -1.18916, -1.32785, -1.57696, -1.57871, -1.91932, -2.40432, -2.46994
0.44, 0.0319375, -0.139082, -0.0139164, -0.267563, -0.416308, -0.125982, -0.482007, -0.52678, -0.45889, -0.566902, -0.188541, -0.394367, -0.624506, -0.852496, -1.35669, -1.34503, -1.2066, -1.61195, -1.8513, -1.46927, -1.07112, -0.777484, -1.1849, -1.35097, -1.06971, -1.34389, -1.3928, -1.48534, -1.7213, -1.99328, -2.16778
0.46, 0.0319375, -0.91392, -0.498869, -0.328367, -0.987139, -0.790925, -0.709246, -0.70612, -0.00661356, -0.0251667, -0.210383, -0.419788, -0.797042, -1.2372, -1.28615, -1.25052, -1.37446, -1.67964, -1.84309, -1.67789, -1.59002, -1.48643, -1.32172, -1.33269, -1.14072, -1.43394, -1.37762, -1.81237, -1.82333, -2.00047, -2.09248
0.48, 0.0319375, -0.330227, -0.782144, -0.901673, -2.21478, -0.483602, -0.281033, -0.954392, -0.0281361, -0.169946, -0.602267, -0.774809, -1.11251, -1.1515, -1.22778, -1.42534, -1.92156, -1.90705, -2.12316, -1.67662, -1.57417, -1.52672, -1.336, -1.29007, -1.35389, -1.42918, -1.72686, -1.95367, -1.66112, -2.15288, -2.38576
0.5, 0.0319375, -0.709107, -0.560098, 0.190573, -0.18951, -0.44409, 0.178603, 0.107939, 0.432549, 1.09057, 1.38335, 1.08041, 0.947687, 0.526208, 0.454297, 0.0388254, -0.55438, -0.243837, -0.0101402, 0.092585, 0.581579, 1.33636, 1.43444, 1.25788, 1.21878, 1.00129, 0.68897, 0.190093, 0.215957, -0.442366, -1.22011
0.52, 0.0319375, -0.643122, -0.468615, -0.476118, 0.0217511, 0.161976, 0.435327, 0.107299, 0.16574, -0.253743, 0.0182474, -0.390928, -0.0634757, -0.244553, -0.535279, -0.51541, -0.929275, -1.04934, -1.12999, -1.20177, -0.771102, -0.860621, -0.780572, -0.588871, -0.454623, -0.710064, -1.18135, -1.12572, -1.1898, -1.4709, -1.63634
0.54, 0.0319375, -0.268616, -1.29135, -1.20569, -0.398764, -0.0646898, -0.244264, 0.336498, 0.0843451, -0.102828, -0.135923, 0.0516198, -0.555153, -0.111509, 0.34108, 0.157902, -0.505774, -1.09432, -1.56985, -1.24967, -0.348903, -0.757583, -0.238802, -0.417861, -0.626262, -0.404887, -0.404516, -0.856246, -1.05157, -1.16731, -1.1452
0.56, 0.0319375, -0.231973, -0.700008, -0.174145, -0.233094, 0.0285668, -0.652782, -0.187168, 0.494795, 0.155018, 0.812299, 0.30974, -0.491284, -0.370745, -0.126929, -0.809991, -0.682665, -0.487457, -0.7487, -1.02891, -0.181013, -0.133278, -0.238792, -0.277921, -0.26025, -0.362967, -0.819815, -1.1005, -0.881091, -1.27105, -1.6866
0.58, 0.0319375, -0.263355, -0.587882, -1.20311, -1.03312, -0.0920132, -0.0595483, -0.207092, -0.43196, -0.235381, -0.263211, -1.08384, -0.706557, -0.981833, -0.698868, -0.610031, -0.754986, -0.859849, -1.06239, -0.999181, -0.367791, -0.378625, -0.513476, -0.148214, -0.159929, -0.101393, -0.384917, -0.582603, -0.874488, -1.40202, -1.53878
0.6, 0.0319375, -0.694274, -0.630499, -0.332002, 0.170253, 0.0821053, -0.323676, 0.142327, -0.127378, 0.146616, -0.0982734, -0.276778, -0.548203, -0.420022, -0.041674, 0.139481, -1.03929, -0.677899, -1.11158, -0.804169, -0.344286, -0.282294, -0.548331, -0.372543, -0.353182, -0.400199, -0.697848, -0.885862, -0.965436, -1.20035, -1.18856
0.62, 0.0319375, -0.365139, -0.719501, -0.319904, -0.483031, -0.405338, 0.157999, -0.109372, -0.0286282, 0.102241, 0.661557, 0.30168, -0.221824, -0.81325, -0.137432, -0.193042, -0.616863, -0.847608, -0.653316, -0.804528, -0.265088, -0.398612, -0.452539, -0.329131, -0.523636, -0.496785, -0.730384, -0.679595, -0.773996, -1.2701, -1.2594
0.64, 0.0319375, -0.652458, -0.0877499, 0.205913, -0.456701, -0.335402, -0.777921, -0.976903, -0.324093, 0.322239, 0.178911, 0.01529, 0.265419, 0.0492914, -0.20567, -0.450284, -0.643162, -0.382247, -0.30777, -0.567045, -0.165769, -0.043588, 0.0468061, 0.01144, -0.279247, -0.306137, -0.61592, -0.404259, -0.750081, -0.904986, -1.04835
0.66, 0.0319375, -0.885174, -0.251619, -0.427387, -0.283038, -0.167551, -0.653373, -0.803672, -0.709676, 0.0278327, 0.35994, 0.247715, 0.139238, 0.0903091, -0.102267, -0.431006, -0.301999, -0.118628, -0.648078, -0.513165, 0.112502, 0.209425, 0.287752, 0.0782469, 0.1381, -0.358231, -0.726801, -0.668538, -0.763185, -1.01429, -1.25825
0.68, 0.0319375, -0.471156, -0.75255, -0.222852, -0.389346, 0.00682843, 0.193833, 0.0670249, 0.143055, -0.0314221, -0.533313, -0.249664, -0.282385, -0.311197, 0.0937549, -0.424998, -0.169489, -0.189429, -0.444931, -0.506908, -0.122765, 0.0441506, 0.0282351, 0.104234, -0.0998964, -0.390088, -0.502699, -0.627532, -0.715249, -1.24158, -1.49165
0.7, 0.0319375, 0.135366, -0.860821, -0.646775, -1.14863, -0.58468, 0.0253512, 0.0326832, -0.491474, 0.178689, 0.0857975, 0.138846, 0.0166753, -0.268291, 0.0758951, 0.175185, 0.120497, -0.174979, -0.596743, -0.468392, 0.234987, 0.35205, 0.228235, 0.504832, 0.419849, -0.323172, -0.558186, -0.629332, -0.653081, -0.979588, -1.14689
0.72, 0.0319375, 0.344359, 0.620964, 0.72629, 0.601034, 0.208011, 0.118266, -0.0679017, -0.549139, -0.142158, 0.241403, 0.266801, 0.406936, 0.49037, 0.399059, 0.101227, 0.140719, -0.283134, -0.568299, -0.176107, 0.160931, 0.092248, -0.20766, 0.0618779, 0.235489, -0.203309, -0.310697, -0.249818, -0.51336, -1.10817, -1.3825
0.74, 0.0319375, -0.765142, -0.642792, -0.352428, -0.0986004, -0.0885132, -0.783099, -0.0749824, 0.127146, -0.0932099, 0.291622, -0.0569175, 0.429791, -0.146828, 0.104917, -0.103602, -0.60698, -0.649383, -0.843385, -0.667305, -0.315106, -0.336083, -0.480594, -0.760934, -0.625478, -0.685542, -0.980498, -1.27332, -1.30143, -1.60376, -1.73538
0.76, 0.0319375, -1.24343, -0.0847569, 0.338222, 0.654324, 0.599202, 1.08298, 0.839922, 0.678683, 0.266448, 0.564424, 0.592838, 0.937046, 0.603288, 0.206518, -0.530169, -0.66855, -0.318458, -0.374749, -0.467452, -0.320393, 0.338084, 0.652592, 0.543209, -0.00145792, 0.177608, -0.450576, -0.87144, -1.1071, -0.891178, -0.940977
