# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, -4.2568, -4.68107, -4.60034, -4.49356, -4.4673, -4.83297, -5.13302, -4.83184, -4.8874, -4.98838, -4.68355, -5.05125, -4.56338, -4.45483, -4.65234, -4.81686, -4.92466, -4.62286, -5.08837, -5.15899, -5.02955, -5.2546, -4.97033, -4.99245, -5.2614, -5.32214, -5.09275, -5.64055, -5.12697, -5.2915
0.34, 0.0319375, -3.2479, -3.5813, -4.27403, -4.78768, -4.14251, -4.67994, -4.41483, -4.69418, -4.75022, -4.7275, -4.60471, -4.21512, -4.55627, -4.45559, -4.43479, -4.64891, -4.81191, -4.63912, -5.11745, -4.66906, -4.73559, -4.5791, -4.78976, -5.28413, -5.23356, -4.9414, -5.28292, -5.24874, -5.24456, -4.42686
0.36, 0.0319375, -4.46448, -4.05733, -3.88722, -4.62741, -4.3102, -4.26304, -4.44211, -4.61404, -4.79494, -4.56063, -4.34162, -4.31566, -4.35428, -4.6983, -4.8325, -4.57825, -4.08535, -4.30111, -5.18459, -5.21198, -4.77348, -4.56331, -4.49331, -4.93734, -4.9859, -4.95817, -5.0979, -5.01696, -5.07658, -4.60891
0.38, 0.0319375, -3.80722, -4.02494, -5.07349, -3.44461, -3.56848, -4.20562, -4.18231, -4.41672, -4.6299, -4.11946, -4.24014, -4.26856, -4.45851, -4.73982, -4.60046, -4.91068, -4.96474, -4.66411, -5.13104, -4.73587, -4.65952, -4.77987, -4.7949, -4.90659, -4.75392, -5.43444, -5.19241, -4.89649, -4.73517, -4.47643
0.4, 0.0319375, -3.88796, -4.72071, -4.67241, -4.15393, -3.94237, -3.83977, -4.68199, -4.51315, -4.2415, -4.70587, -4.63402, -4.19807, -4.64459, -4.29596, -4.59128, -4.60794, -4.74335, -5.25234, -5.22494, -4.65256, -4.73938, -4.82386, -4.78738, -4.87018, -5.11607, -4.98992, -5.11414, -5.19582, -4.84476, -4.74522
0.42, 0.0319375, -3.56837, -3.93985, -4.74554, -4.88795, -4.04689, -4.28345, -3.87594, -3.64729, -4.23935, -4.544, -4.96799, -4.44546, -4.67249, -4.49029, -4.79602, -4.5796, -4.70814, -4.78253, -5.44806, -4.97335, -4.86377, -4.78655, -4.78361, -5.0014, -4.91068, -5.02708, -4.78765, -4.92656, -4.45921, -4.81666
0.44, 0.0319375, -3.77621, -3.68826, -3.8177, -4.4793, -4.21863, -4.60939, -4.17812, -4.56944, -4.3046, -3.99935, -4.32177, -4.31255, -4.34482, -4.6584, -4.06325, -4.52231, -4.35721, -4.73634, -5.0169, -5.21237, -5.08321, -4.87086, -4.66994, -4.9629, -4.96607, -5.10317, -5.05752, -5.00826, -4.84545, -4.77287
0.46, 0.0319375, -3.44379, -3.28408, -3.8332, -4.69867, -4.39151, -4.65403, -4.45037, -4.19092, -4.20195, -5.02223, -4.632, -4.04065, -4.06058, -4.37474, -4.59252, -4.58759, -4.87637, -4.87209, -5.22179, -5.18224, -4.74967, -4.94756, -4.44145, -4.81486, -5.08245, -5.08383, -5.09258, -4.88071, -4.68964, -4.37074
0.48, 0.0319375, -3.71586, -3.56146, -3.94417, -4.89285, -4.30567, -3.69942, -3.83595, -4.31601, -4.11038, -4.44566, -4.68396, -4.8625, -4.39981, -4.43892, -5.06622, -4.73458, -4.4545, -4.93027, -5.66586, -5.21829, -4.77456, -4.56778, -4.77068, -4.8393, -4.83304, -4.97493, -5.00128, -5.31175, -4.65018, -4.77802
0.5, 0.0319375, -4.07071, -4.77604, -4.0287, -3.97783, -3.54584, -4.03102, -3.70398, -4.31666, -4.11458, -3.907, -4.42047, -4.11229, -4.11729, -4.38379, -4.54442, -4.79397, -5.03562, -4.59791, -4.8388, -4.54413, -4.69871, -4.96086, -4.63373, -4.93779, -5.2581, -5.45584, -5.11796, -4.74965, -4.4859, -4.50153
0.52, 0.0319375, -3.36233, -3.19668, -3.99415, -3.75083, -3.87847, -3.90135, -3.87366, -4.19647, -3.9037, -3.23138, -4.28464, -4.12167, -4.01469, -4.59444, -4.5678, -4.44706, -4.48699, -4.78088, -4.79155, -4.91396, -4.91295, -5.19872, -4.60573, -4.83252, -5.42879, -5.29099, -5.15461, -5.01753, -5.00373, -4.61023
0.54, 0.0319375, -3.41224, -3.88049, -4.02913, -4.16606, -3.70185, -3.80384, -3.62037, -4.3441, -3.65482, -3.25851, -4.35749, -4.08408, -4.54104, -4.39296, -4.6263, -4.69266, -4.60599, -4.90432, -4.37268, -5.07849, -4.71359, -4.59389, -4.43439, -4.96351, -5.24239, -4.92188, -4.65885, -4.84863, -4.80386, -4.21527
0.56, 0.0319375, -3.00038, -2.78981, -3.62333, -3.56422, -3.5136, -3.39984, -3.74744, -4.10929, -3.90316, -3.81014, -3.9658, -4.00089, -3.99988, -4.76367, -4.43759, -4.42951, -4.14108, -5.16998, -5.44993, -4.72587, -4.54598, -4.58292, -4.62886, -4.92566, -4.81766, -5.03883, -4.85888, -4.98081, -4.65573, -4.22709
0.58, 0.0319375, -3.12298, -4.47713, -4.18804, -3.97522, -4.89839, -4.40735, -3.63691, -4.10154, -4.15939, -4.35628, -3.7949, -3.88346, -4.13156, -4.48042, -4.67878, -4.59803, -4.37898, -4.70181, -4.84575, -4.47109, -4.80778, -4.743, -4.93736, -4.69611, -4.61078, -5.01443, -4.76781, -4.92707, -4.5812, -4.3841
0.6, 0.0319375, -2.98411, -2.9349, -3.14126, -4.54813, -3.96772, -4.00026, -3.99032, -4.3332, -4.11085, -4.2047, -4.06572, -4.12004, -3.83267, -3.9597, -5.00783, -4.58447, -4.30718, -4.46789, -4.7349, -4.71906, -4.95603, -4.62601, -4.59773, -4.83335, -4.91897, -5.17591, -4.87001, -4.72041, -4.61001, -4.71281
0.62, 0.0319375, -3.27666, -3.12587, -3.94516, -4.09775, -4.51766, -4.75983, -3.90299, -4.1251, -4.07253, -4.34495, -4.72247, -3.90552, -3.69028, -4.38479, -4.67926, -4.29671, -4.64876, -4.74348, -4.65312, -4.96235, -4.88564, -4.77407, -4.91357, -4.75852, -5.09206, -4.87423, -4.94449, -4.98187, -4.71653, -4.73015
0.64, 0.0319375, -3.35386, -3.30664, -3.52785, -3.92719, -4.18657, -4.0758, -3.81304, -4.05489, -4.88062, -4.48337, -3.76614, -3.646, -3.98106, -4.46618, -4.34256, -4.28671, -4.33819, -4.72544, -5.14804, -5.17353, -4.87022, -4.9318, -4.48061, -4.65464, -5.02112, -5.04079, -4.81546, -4.90768, -4.96066, -4.77805
0.66, 0.0319375, -3.45835, -3.84009, -3.86907, -3.60605, -3.97056, -3.87607, -4.42372, -4.15916, -4.36344, -4.66626, -4.66896, -3.59848, -3.97533, -4.65537, -4.8406, -4.25038, -4.06129, -4.54541, -4.69106, -4.44343, -4.7055, -4.90692, -4.61287, -4.68443, -5.01596, -4.87089, -4.93576, -4.88446, -4.75388, -4.95268
0.68, 0.0319375, -3.21019, -3.87018, -3.99832, -3.72122, -3.85099, -3.8547, -4.45348, -3.9851, -3.89086, -3.98682, -4.45476, -4.29306, -4.22158, -4.31881, -4.52161, -4.47547, -4.18246, -4.65165, -4.50847, -3.33405, -3.83488, -4.38382, -4.73424, -4.68501, -4.6486, -5.04349, -4.86382, -5.09664, -4.60888, -4.69956
0.7, 0.0319375, -3.26452, -3.18988, -3.87287, -4.46308, -4.50454, -4.27697, -4.38424, -4.11103, -4.2398, -4.43987, -4.37909, -3.75013, -3.66353, -4.06923, -4.81844, -4.37075, -3.98173, -4.45595, -4.40775, -2.68214, -3.27073, -4.04105, -4.38729, -4.98325, -5.40199, -5.10588, -4.28853, -4.64393, -4.67006, -4.78077
0.72, 0.0319375, -2.83555, -3.56159, -3.69289, -3.4497, -3.52225, -3.41012, -3.5182, -3.76028, -3.78724, -4.11532, -4.08337, -4.23614, -3.92646, -4.50229, -4.75829, -4.49511, -4.08867, -4.35995, -4.22312, -2.6796, -3.38845, -3.95953, -4.38445, -4.695, -5.19, -5.03075, -4.95649, -5.02481, -4.80609, -5.08565
